V2	V(vout)
-2.000000000000000e-01	-9.960526e+00
-1.900000000000000e-01	-9.959373e+00
-1.800000000000000e-01	-9.957811e+00
-1.700000000000000e-01	-9.955722e+00
-1.600000000000000e-01	-9.952958e+00
-1.500000000000000e-01	-9.949319e+00
-1.400000000000000e-01	-9.944489e+00
-1.300000000000000e-01	-9.937914e+00
-1.200000000000000e-01	-9.928420e+00
-1.100000000000000e-01	-9.911988e+00
-1.000000000000000e-01	-9.860580e+00
-9.000000000000001e-02	-9.011733e+00
-8.000000000000002e-02	-8.013060e+00
-7.000000000000001e-02	-7.014387e+00
-6.000000000000000e-02	-6.015714e+00
-5.000000000000002e-02	-5.017041e+00
-4.000000000000001e-02	-4.018368e+00
-3.000000000000000e-02	-3.019696e+00
-2.000000000000002e-02	-2.021023e+00
-1.000000000000001e-02	-1.022351e+00
0.000000000000000e+00	-2.367821e-02
9.999999999999981e-03	9.749941e-01
1.999999999999999e-02	1.973666e+00
3.000000000000000e-02	2.972338e+00
3.999999999999998e-02	3.971010e+00
4.999999999999999e-02	4.969682e+00
6.000000000000000e-02	5.968354e+00
7.000000000000001e-02	6.967026e+00
8.000000000000002e-02	7.965697e+00
8.999999999999997e-02	8.949974e+00
9.999999999999998e-02	9.057038e+00
1.100000000000000e-01	9.075750e+00
1.200000000000000e-01	9.086238e+00
1.300000000000000e-01	9.093489e+00
1.400000000000000e-01	9.098493e+00
1.500000000000000e-01	9.102258e+00
1.600000000000000e-01	9.105151e+00
1.700000000000000e-01	9.107346e+00
1.800000000000000e-01	9.108990e+00
1.900000000000000e-01	9.110204e+00
2.000000000000000e-01	9.111087e+00
